County1,Count,Population,,#VALUE!,,county,population,,,county2,acc2,pop2
Barron,3,45164,,0.01%,,Renville County,16986,,,Van Buren,84,104836
Gogebic,1,15096,,0.01%,,Republic County,4664,,,Van Wert,8,28281
Scioto,5,75502,,0.01%,,Reynolds County,6254,,,Van Zandt,13,56019
Obion,2,30267,,0.01%,,Rhea County,33044,,,Vance,30,44582
Laurel,4,60669,,0.01%,,Rice County,76054,,,Vanderburgh,96,180974
Wetzel,1,15270,,0.01%,,Rich County,2464,,,Venango,18,51266
Valencia,5,76456,,0.01%,,Richardson County,7937,,,Ventura,1685,850967
Nueces,23,362265,,0.01%,,Richland County,595967,,,Vermilion,15,76806
Natrona,5,79115,,0.01%,,Richland Parish,20192,,,Vermillion,9,15479
Bee,2,32587,,0.01%,,Richmond city,228783,,,Vernon,12,51313
Hopkins,5,81878,,0.01%,,Richmond County,731658,,,Victoria,10,92035
Payne,5,82040,,0.01%,,Riley County,73703,,,Vigo,33,107386
Bladen,2,33190,,0.01%,,Ringgold County,4968,,,Vilas,4,21938
Alamosa,1,16683,,0.01%,,Rio Arriba County,39006,,,Vinton,7,13139
Weakley,2,33415,,0.01%,,Rio Blanco County,6336,,,Virginia Beach,568,450189
Evangeline,2,33443,,0.01%,,Rio Grande County,11250,,,Virginia Beach City,3,450189
San Patricio,4,66893,,0.01%,,Ripley County,41924,,,Volusia,834,547538
Scurry,1,16866,,0.01%,,Ritchie County,9721,,,Wabash,11,42829
Lewis and Clark,4,68700,,0.01%,,Riverside County,2450758,,,Wabasha,17,21645
Jeff Davis,1,17281,,0.01%,,Roane County,67072,,,Wadena,22,13773
Dukes,1,17352,,0.01%,,Roanoke city,99920,,,Wagoner,56,80110
Garrard,1,17560,,0.01%,,Roanoke County,94073,,,Wahkiakum,3,4426
Faulkner,7,124806,,0.01%,,Roberts County,11350,,,Wake,22849,1092305
Scotts Bluff,2,35989,,0.01%,,Robertson County,90431,,,Wakulla,48,32461
Radford,1,18339,,0.01%,,Robeson County,131831,,,Waldo,5,39694
Alcorn,2,36925,,0.01%,,Rock County,173903,,,Walker,50,205601
Bosque,1,18691,,0.01%,,Rock Island County,143477,,,Walla Walla,2,60922
Deaf Smith,1,18760,,0.01%,,Rockbridge County,22752,,,Waller,61,53126
Chelan,4,77036,,0.01%,,Rockcastle County,16750,,,Wallowa,45,7081
Tishomingo,1,19454,,0.01%,,Rockdale County,90594,,,Walthall,2,14465
Lafourche,5,98115,,0.01%,,Rockingham County,481110,,,Walton,286,164878
Ward,4,79464,,0.01%,,Rockland County,325695,,,Walworth,44,109305
Labette,1,19964,,0.01%,,Rockwall County,100657,,,Wapello,8,35205
Latah,2,40134,,0.00%,,Roger Mills County,3656,,,Ward,4,79464
Lavaca,1,20110,,0.00%,,Rogers County,91984,,,Ware,3,35680
DeWitt,1,20187,,0.00%,,Rolette County,14301,,,Warren,1228,836156
Avoyelles,2,40462,,0.00%,,Rooks County,5013,,,Warrick,21,62567
Leavenworth,4,81352,,0.00%,,Roosevelt County,29802,,,Wasatch,229,33240
Danville City,2,40693,,0.00%,,Roscommon County,23884,,,Wasco,396,26505
Fannin,3,61250,,0.00%,,Roseau County,15150,,,Waseca,16,18691
Jay,1,20764,,0.00%,,Rosebud County,9063,,,Washington,4777,2627472
Gaines,1,20901,,0.00%,,Ross County,76931,,,Washoe,1556,465735
Winston,2,41825,,0.00%,,Routt County,25733,,,Washtenaw,444,370963
Stutsman,1,20917,,0.00%,,Rowan County,165845,,,Watauga,2,55945
Lampasas,1,21229,,0.00%,,Runnels County,10234,,,Watonwan,14,10980
Pettis,2,42542,,0.00%,,Rush County,19756,,,Waukesha,384,403072
Saunders,1,21303,,0.00%,,Rusk County,68597,,,Waupaca,24,51128
Sheridan,2,42729,,0.00%,,Russell County,109257,,,Waushara,13,24263
Willacy,1,21515,,0.00%,,Rutherford County,391716,,,Wayne,7121,2375408
Ravalli,2,43172,,0.00%,,Rutland County,58672,,,Waynesboro,38,22628
Craighead,5,108558,,0.00%,,Sabine County,10589,,,Weakley,2,33415
Letcher,1,21899,,0.00%,,Sabine Parish,24032,,,Webb,8,275910
Wyoming,4,87917,,0.00%,,Sac County,9719,,,Weber,922,256359
Brooke,1,22203,,0.00%,,Sacramento County,1540975,,,Webster,32,112714
Imperial,8,181827,,0.00%,,Sagadahoc County,35634,,,Weld,356,314305
Iberia,3,70941,,0.00%,,Saginaw County,190800,,,Wells,1,32163
St. Mary,2,49774,,0.00%,,Saguache County,6843,,,West Baton Rouge,183,26427
Staunton City,1,24922,,0.00%,,Salem city,25643,,,West Feliciana,2,15460
Bremer,1,24947,,0.00%,,Salem County,62607,,,Westchester,4657,967612
Roanoke,4,99920,,0.00%,,Saline County,236973,,,Westmoreland,535,368441
Coles,2,50885,,0.00%,,Salt Lake County,1152633,,,Wetzel,1,15270
Door,1,27610,,0.00%,,Saluda County,20544,,,Wexford,5,33466
Gray,1,27928,,0.00%,,Sampson County,63626,,,Wharton,4,41619
Watauga,2,55945,,0.00%,,San Augustine County,8232,,,Whatcom,501,225685
Onslow,7,197683,,0.00%,,San Benito County,61537,,,Wheeler,58,15241
Brazos,8,226758,,0.00%,,San Bernardino County,2171603,,,White,50,173602
Palo Pinto,1,28875,,0.00%,,San Diego County,3343364,,,White Pine,23,9475
Hardeman,1,29142,,0.00%,,San Francisco County,883305,,,Whiteside,5,55626
Maverick,2,58485,,0.00%,,San Jacinto County,28719,,,Whitfield,84,104062
Tom Green,4,118189,,0.00%,,San Joaquin County,752660,,,Whitley,12,70316
Gallia,1,29979,,0.00%,,San Juan County,158382,,,Whitman,7,49791
Walla Walla,2,60922,,0.00%,,San Luis Obispo County,284010,,,Wichita,525,134169
Meade,2,61155,,0.00%,,San Mateo County,769545,,,Wicomico,67,103195
Sebastian,4,127753,,0.00%,,San Miguel County,35782,,,Wilbarger,2,12820
Alexandria City,5,160530,,0.00%,,San Patricio County,66893,,,Wilcox,3,19439
Wells,1,32163,,0.00%,,San Saba County,6054,,,Wilkes,30,78433
McCracken,2,65346,,0.00%,,Sanborn County,2429,,,Wilkin,6,6254
McCurtain,1,32703,,0.00%,,Sanders County,11844,,,Will,473,692310
Upshur,2,65675,,0.00%,,Sandoval County,145179,,,Willacy,1,21515
Harvey,1,34210,,0.00%,,Sandusky County,58799,,,Williams,17,72154
Webb,8,275910,,0.00%,,Sangamon County,195348,,,Williamsburg,232,14896
Bourbon,1,34837,,0.00%,,Sanilac County,41182,,,Williamson,1395,865504
Grand Forks,2,70770,,0.00%,,Sanpete County,30623,,,Wilson,114,280969
Choctaw,1,35787,,0.00%,,Santa Barbara County,446527,,,Winchester,4,28108
Coshocton,1,36629,,0.00%,,Santa Clara County,1937570,,,Windham,164,159783
Independence,1,37678,,0.00%,,Santa Cruz County,320766,,,Windsor,26,55286
Barton,1,37909,,0.00%,,Santa Fe County,150056,,,Winkler,2,7720
Cole,2,76796,,0.00%,,Santa Rosa County,179349,,,Winnebago,205,465619
Natchitoches,1,38659,,0.00%,,Sarasota County,426718,,,Winona,56,50825
Rio Arriba,1,39006,,0.00%,,Saratoga County,230163,,,Winston,2,41825
Howell,1,40076,,0.00%,,Sargent County,3870,,,Wise,25,106317
Franklin County,54,2296613,,0.00%,,Sarpy County,184459,,,Wolfe,2,7177
Muscatine,1,42929,,0.00%,,Sauk County,64249,,,Wood,160,333083
Pittsburg,1,43877,,0.00%,,Saunders County,21303,,,Woodbury,53,102539
Stephenson,1,44753,,0.00%,,Sawyer County,16489,,,Woodford,23,64996
Colquitt,1,45592,,0.00%,,Schenectady County,155350,,,Worcester,782,882662
Texas,1,46026,,0.00%,,Schleicher County,2895,,,Worth,25,29792
Ford,1,47152,,0.00%,,Schley County,5236,,,Wright,281,167417
Charlottesville City,1,48117,,0.00%,,Schoharie County,31097,,,Wyandot,5,21935
Val Verde,1,49208,,0.00%,,Schoolcraft County,8068,,,Wyandotte,715,165324
Oktibbeha,1,49599,,0.00%,,Schuyler County,29418,,,Wyoming,4,87917
Hood,1,60537,,0.00%,,Schuylkill County,142067,,,Wythe,197,28754
Dickinson,1,61253,,0.00%,,Scioto County,75502,,,Yadkin,33,37543
Lubbock,5,307412,,0.00%,,Scotland County,39776,,,Yakima,22,251446
Minnehaha,3,192876,,0.00%,,Scott County,531033,,,Yalobusha,6,12392
Hampton City,2,134313,,0.00%,,Scotts Bluff County,35989,,,Yamhill,617,107002
Randall,2,136271,,0.00%,,Screven County,13938,,,Yates,2,24841
Carteret,1,69524,,0.00%,,Scurry County,16866,,,Yavapai,420,231993
Pontotoc,1,70080,,0.00%,,Searcy County,7958,,,Yazoo,10,28248
Kosciusko,1,79344,,0.00%,,Sebastian County,127753,,,Yell,2,21535
Chesapeake City,3,242634,,0.00%,,Sedgwick County,515910,,,Yellow Medicine,19,9795
Portsmouth City,1,94632,,0.00%,,Seminole County,500725,,,Yellowstone,20,160137
Burleigh,1,95273,,0.00%,,Seneca County,89507,,,Yoakum,4,8591
Richmond County,7,731658,,0.00%,,Sequatchie County,14876,,,Yolo,803,220408
Pennington,1,125907,,0.00%,,Sequoyah County,41179,,,York,5127,1010238
Virginia Beach City,3,450189,,0.00%,,Sevier County,136570,,,Yuba,244,78041
Yuma,127,222148,,,,Seward County,39098,,,Yuma,127,222148
Grand Total,892615,,,,,Shackelford County,3253+H1528:H1554,,,,,
,,,,,,Shannon County,8189,,,,,
,,,,,,Sharkey County,4377,,,,,
,,,,,,Sharp County,17366,,,,,
,,,,,,Shasta County,180040,,,,,
,,,,,,Shawano County,40796,,,,,
,,,,,,Shawnee County,177499,,,,,
,,,,,,Sheboygan County,115456,,,,,
,,,,,,Shelby County,1357996,,,,,
,,,,,,Shenandoah County,43497,,,,,
,,,,,,Sherburne County,96036,,,,,
,,,,,,Sheridan County,42729,,,,,
,,,,,,Sherman County,13724,,,,,
,,,,,,Shiawassee County,68192,,,,,
,,,,,,Shoshone County,12796,,,,,
,,,,,,Sibley County,15028,,,,,
,,,,,,Sierra County,13955,,,,,
,,,,,,Silver Bow County,34993,,,,,
,,,,,,Simpson County,45287,,,,,
,,,,,,Sioux County,40454,,,,,
,,,,,,Siskiyou County,43724,,,,,
,,,,,,Sitka City and Borough,8647,,,,,
,,,,,,Skagit County,128206,,,,,
,,,,,,Skagway Municipality,1148,,,,,
,,,,,,Skamania County,11924,,,,,
,,,,,,Slope County,763,,,,,
,,,,,,Smith County,269768,,,,,
,,,,,,Smyth County,30472,,,,,
,,,,,,Snohomish County,814901,,,,,
,,,,,,Snyder County,40540,,,,,
,,,,,,Socorro County,16735,,,,,
,,,,,,Solano County,446610,,,,,
,,,,,,Somerset County,481383,,,,,
,,,,,,Somervell County,9016,,,,,
,,,,,,Sonoma County,499942,,,,,
,,,,,,Southampton County,17586,,,,,
,,,,,,Southeast Fairbanks Census Area,6918,,,,,
,,,,,,Spalding County,66100,,,,,
,,,,,,Spartanburg County,313888,,,,,
,,,,,,Spencer County,39121,,,,,
,,,,,,Spink County,6495,,,,,
,,,,,,Spokane County,514631,,,,,
,,,,,,Spotsylvania County,134238,,,,,
,,,,,,St. Bernard Parish,46721,,,,,
,,,,,,St. Charles County,399182,,,,,
,,,,,,St. Charles Parish,52879,,,,,
,,,,,,St. Clair County,518481,,,,,
,,,,,,St. Croix County,89694,,,,,
,,,,,,St. Francis County,25439,,,,,
,,,,,,St. Francois County,66692,,,,,
,,,,,,St. Helena Parish,10262,,,,,
,,,,,,St. James Parish,21037,,,,,
,,,,,,St. John the Baptist Parish,43184,,,,,
,,,,,,St. Johns County,254261,,,,,
,,,,,,St. Joseph County,331814,,,,,
,,,,,,St. Landry Parish,82764,,,,,
,,,,,,St. Lawrence County,108047,,,,,
,,,,,,St. Louis city,302838,,,,,
,,,,,,St. Louis County,1196699,,,,,
,,,,,,St. Lucie County,321128,,,,,
,,,,,,St. Martin Parish,53621,,,,,
,,,,,,St. Mary Parish,49774,,,,,
,,,,,,St. Mary's County,112664,,,,,
,,,,,,St. Tammany Parish,258111,,,,,
,,,,,,Stafford County,154138,,,,,
,,,,,,Stanislaus County,549815,,,,,
,,,,,,Stanley County,3022,,,,,
,,,,,,Stanly County,62075,,,,,
,,,,,,Stanton County,7957,,,,,
,,,,,,Stark County,407998,,,,,
,,,,,,Starke County,22935,,,,,
,,,,,,Starr County,64525,,,,,
,,,,,,Staunton city,24922,,,,,
,,,,,,Ste. Genevieve County,17888,,,,,
,,,,,,Stearns County,159256,,,,,
,,,,,,Steele County,38706,,,,,
,,,,,,Stephens County,78733,,,,,
,,,,,,Stephenson County,44753,,,,,
,,,,,,Sterling County,1311,,,,,
,,,,,,Steuben County,130382,,,,,
,,,,,,Stevens County,60572,,,,,
,,,,,,Stewart County,19760,,,,,
,,,,,,Stillwater County,9534,,,,,
,,,,,,Stoddard County,29206,,,,,
,,,,,,Stokes County,45467,,,,,
,,,,,,Stone County,62923,,,,,
,,,,,,Stonewall County,1362,,,,,
,,,,,,Storey County,4029,,,,,
,,,,,,Story County,98105,,,,,
,,,,,,Strafford County,130090,,,,,
,,,,,,Stutsman County,20917,,,,,
,,,,,,Sublette County,9813,,,,,
,,,,,,Suffolk city,91185,,,,,
,,,,,,Suffolk County,2288345,,,,,
,,,,,,Sullivan County,309292,,,,,
,,,,,,Sully County,1392,,,,,
,,,,,,Summers County,12760,,,,,
,,,,,,Summit County,614858,,,,,
,,,,,,Sumner County,210145,,,,,
,,,,,,Sumter County,277690,,,,,
,,,,,,Sunflower County,25735,,,,,
,,,,,,Surry County,78422,,,,,
,,,,,,Susquehanna County,40589,,,,,
,,,,,,Sussex County,381322,,,,,
,,,,,,Sutter County,96807,,,,,
,,,,,,Sutton County,3758,,,,,
,,,,,,Suwannee County,44191,,,,,
,,,,,,Swain County,14245,,,,,
,,,,,,Sweet Grass County,3710,,,,,
,,,,,,Sweetwater County,43051,,,,,
,,,,,,Swift County,9345,,,,,
,,,,,,Swisher County,7462,,,,,
,,,,,,Switzerland County,10717,,,,,
,,,,,,Talbot County,43240,,,,,
,,,,,,Taliaferro County,1608,,,,,
,,,,,,Talladega County,79828,,,,,
,,,,,,Tallahatchie County,13987,,,,,
,,,,,,Tallapoosa County,40497,,,,,
,,,,,,Tama County,16904,,,,,
,,,,,,Taney County,55852,,,,,
,,,,,,Tangipahoa Parish,133777,,,,,
,,,,,,Taos County,32835,,,,,
,,,,,,Tarrant County,2084931,,,,,
,,,,,,Tate County,28759,,,,,
,,,,,,Tattnall County,25391,,,,,
,,,,,,Taylor County,236316,,,,,
,,,,,,Tazewell County,173183,,,,,
,,,,,,Tehama County,63916,,,,,
,,,,,,Telfair County,15876,,,,,
,,,,,,Teller County,25083,,,,,
,,,,,,Tensas Parish,4462,,,,,
,,,,,,Terrebonne Parish,111021,,,,,
,,,,,,Terrell County,9434,,,,,
,,,,,,Terry County,12287,,,,,
,,,,,,Teton County,40883,,,,,
,,,,,,Texas County,46026,,,,,
,,,,,,Thayer County,5039,,,,,
,,,,,,Thomas County,52879,,,,,
,,,,,,Throckmorton County,1515,,,,,
,,,,,,Thurston County,293722,,,,,
,,,,,,Tift County,40571,,,,,
,,,,,,Tillamook County,26787,,,,,
,,,,,,Tillman County,7348,,,,,
,,,,,,Tioga County,89323,,,,,
,,,,,,Tippah County,21995,,,,,
,,,,,,Tippecanoe County,193048,,,,,
,,,,,,Tipton County,76709,,,,,
,,,,,,Tishomingo County,19454,,,,,
,,,,,,Titus County,33033,,,,,
,,,,,,Todd County,47176,,,,,
,,,,,,Tolland County,150921,,,,,
,,,,,,Tom Green County,118189,,,,,
,,,,,,Tompkins County,102793,,,,,
,,,,,,Tooele County,69907,,,,,
,,,,,,Toole County,4853,,,,,
,,,,,,Toombs County,26887,,,,,
,,,,,,Torrance County,15591,,,,,
,,,,,,Towner County,2192,,,,,
,,,,,,Towns County,11852,,,,,
,,,,,,Traill County,8037,,,,,
,,,,,,Transylvania County,34215,,,,,
,,,,,,Traverse County,3308,,,,,
,,,,,,Travis County,1248743,,,,,
,,,,,,Treasure County,679,,,,,
,,,,,,Trego County,2793,,,,,
,,,,,,Trempealeau County,29442,,,,,
,,,,,,Treutlen County,6809,,,,,
,,,,,,Trigg County,14643,,,,,
,,,,,,Trimble County,8515,,,,,
,,,,,,Trinity County,27275,,,,,
,,,,,,Tripp County,5478,,,,,
,,,,,,Troup County,70034,,,,,
,,,,,,Trousdale County,11012,,,,,
,,,,,,Trumbull County,198627,,,,,
,,,,,,Tucker County,6955,,,,,
,,,,,,Tulare County,465861,,,,,
,,,,,,Tulsa County,648360,,,,,
,,,,,,Tunica County,9944,,,,,
,,,,,,Tuolumne County,54539,,,,,
,,,,,,Turner County,16336,,,,,
,,,,,,Tuscaloosa County,208911,,,,,
,,,,,,Tuscarawas County,92176,,,,,
,,,,,,Tuscola County,52516,,,,,
,,,,,,Twiggs County,8188,,,,,
,,,,,,Twin Falls County,86081,,,,,
,,,,,,Tyler County,30442,,,,,
,,,,,,Tyrrell County,4131,,,,,
,,,,,,Uinta County,20299,,,,,
,,,,,,Uintah County,35438,,,,,
,,,,,,Ulster County,178599,,,,,
,,,,,,Umatilla County,77516,,,,,
,,,,,,Unicoi County,17761,,,,,
,,,,,,Union County,1147306,,,,,
,,,,,,Union Parish,22330,,,,,
,,,,,,Upshur County,65675,,,,,
,,,,,,Upson County,26215,,,,,
,,,,,,Upton County,3671,,,,,
,,,,,,Utah County,622213,,,,,
,,,,,,Uvalde County,26846,,,,,
,,,,,,Val Verde County,49208,,,,,
,,,,,,Valdez-Cordova Census Area,9164,,,,,
,,,,,,Valencia County,76456,,,,,
,,,,,,Valley County,22668,,,,,
,,,,,,Van Buren County,104836,,,,,
,,,,,,Van Wert County,28281,,,,,
,,,,,,Van Zandt County,56019,,,,,
,,,,,,Vance County,44582,,,,,
,,,,,,Vanderburgh County,180974,,,,,
,,,,,,Venango County,51266,,,,,
,,,,,,Ventura County,850967,,,,,
,,,,,,Vermilion County,76806,,,,,
,,,,,,Vermilion Parish,59830,,,,,
,,,,,,Vermillion County,15479,,,,,
,,,,,,Vernon County,51313,,,,,
,,,,,,Vernon Parish,48860,,,,,
,,,,,,Victoria County,92035,,,,,
,,,,,,Vigo County,107386,,,,,
,,,,,,Vilas County,21938,,,,,
,,,,,,Vinton County,13139,,,,,
,,,,,,Virginia Beach city,450189,,,,,
,,,,,,Volusia County,547538,,,,,
,,,,,,Wabash County,42829,,,,,
,,,,,,Wabasha County,21645,,,,,
,,,,,,Wabaunsee County,6899,,,,,
,,,,,,Wadena County,13773,,,,,
,,,,,,Wagoner County,80110,,,,,
,,,,,,Wahkiakum County,4426,,,,,
,,,,,,Wake County,1092305,,,,,
,,,,,,Wakulla County,32461,,,,,
,,,,,,Waldo County,39694,,,,,
,,,,,,Walker County,205601,,,,,
,,,,,,Walla Walla County,60922,,,,,
,,,,,,Wallace County,1503,,,,,
,,,,,,Waller County,53126,,,,,
,,,,,,Wallowa County,7081,,,,,
,,,,,,Walsh County,10667,,,,,
,,,,,,Walthall County,14465,,,,,
,,,,,,Walton County,164878,,,,,
,,,,,,Walworth County,109305,,,,,
,,,,,,Wapello County,35205,,,,,
,,,,,,Ward County,79464,,,,,
,,,,,,Ware County,35680,,,,,
,,,,,,Warren County,836156,,,,,
,,,,,,Warrick County,62567,,,,,
,,,,,,Wasatch County,33240,,,,,
,,,,,,Wasco County,26505,,,,,
,,,,,,Waseca County,18691,,,,,
,,,,,,Washakie County,7885,,,,,
,,,,,,Washburn County,15878,,,,,
,,,,,,Washington County,2627472,,,,,
,,,,,,Washington Parish,46582,,,,,
,,,,,,Washita County,11127,,,,,
,,,,,,Washoe County,465735,,,,,
,,,,,,Washtenaw County,370963,,,,,
,,,,,,Watauga County,55945,,,,,
,,,,,,Watonwan County,10980,,,,,
,,,,,,Waukesha County,403072,,,,,
,,,,,,Waupaca County,51128,,,,,
,,,,,,Waushara County,24263,,,,,
,,,,,,Wayne County,2375408,,,,,
,,,,,,Waynesboro city,22628,,,,,
,,,,,,Weakley County,33415,,,,,
,,,,,,Webb County,275910,,,,,
,,,,,,Weber County,256359,,,,,
,,,,,,Webster County,112714,,,,,
,,,,,,Webster Parish,38798,,,,,
,,,,,,Weld County,314305,,,,,
,,,,,,Wells County,32163,,,,,
,,,,,,West Baton Rouge Parish,26427,,,,,
,,,,,,West Carroll Parish,10982,,,,,
,,,,,,West Feliciana Parish,15460,,,,,
,,,,,,Westchester County,967612,,,,,
,,,,,,Westmoreland County,368441,,,,,
,,,,,,Weston County,6967,,,,,
,,,,,,Wetzel County,15270,,,,,
,,,,,,Wexford County,33466,,,,,
,,,,,,Wharton County,41619,,,,,
,,,,,,Whatcom County,225685,,,,,
,,,,,,Wheatland County,2236,,,,,
,,,,,,Wheeler County,15241,,,,,
,,,,,,White County,173602,,,,,
,,,,,,White Pine County,9475,,,,,
,,,,,,Whiteside County,55626,,,,,
,,,,,,Whitfield County,104062,,,,,
,,,,,,Whitley County,70316,,,,,
,,,,,,Whitman County,49791,,,,,
,,,,,,Wibaux County,1034,,,,,
,,,,,,Wichita County,134169,,,,,
,,,,,,Wicomico County,103195,,,,,
,,,,,,Wilbarger County,12820,,,,,
,,,,,,Wilcox County,19439,,,,,
,,,,,,Wilkes County,78433,,,,,
,,,,,,Wilkin County,6254,,,,,
,,,,,,Wilkinson County,17828,,,,,
,,,,,,Will County,692310,,,,,
,,,,,,Willacy County,21515,,,,,
,,,,,,Williams County,72154,,,,,
,,,,,,Williamsburg city,14896,,,,,
,,,,,,Williamsburg County,30606,,,,,
,,,,,,Williamson County,865504,,,,,
,,,,,,Wilson County,280969,,,,,
,,,,,,Winchester city,28108,,,,,
,,,,,,Windham County,159783,,,,,
,,,,,,Windsor County,55286,,,,,
,,,,,,Winkler County,7720,,,,,
,,,,,,Winn Parish,14134,,,,,
,,,,,,Winnebago County,465619,,,,,
,,,,,,Winneshiek County,20029,,,,,
,,,,,,Winona County,50825,,,,,
,,,,,,Winston County,41825,,,,,
,,,,,,Wirt County,5830,,,,,
,,,,,,Wise County,106317,,,,,
,,,,,,Wolfe County,7177,,,,,
,,,,,,Wood County,333083,,,,,
,,,,,,Woodbury County,102539,,,,,
,,,,,,Woodford County,64996,,,,,
,,,,,,Woodruff County,6490,,,,,
,,,,,,Woods County,8897,,,,,
,,,,,,Woodson County,3183,,,,,
,,,,,,Woodward County,20222,,,,,
,,,,,,Worcester County,882662,,,,,
,,,,,,Worth County,29792,,,,,
,,,,,,Wrangell City and Borough,2503,,,,,
,,,,,,Wright County,167417,,,,,
,,,,,,Wyandot County,21935,,,,,
,,,,,,Wyandotte County,165324,,,,,
,,,,,,Wyoming County,87917,,,,,
,,,,,,Wythe County,28754,,,,,
,,,,,,Yadkin County,37543,,,,,
,,,,,,Yakima County,251446,,,,,
,,,,,,Yakutat City and Borough,604,,,,,
,,,,,,Yalobusha County,12392,,,,,
,,,,,,Yamhill County,107002,,,,,
,,,,,,Yancey County,17903,,,,,
,,,,,,Yankton County,22869,,,,,
,,,,,,Yates County,24841,,,,,
,,,,,,Yavapai County,231993,,,,,
,,,,,,Yazoo County,28248,,,,,
,,,,,,Yell County,21535,,,,,
,,,,,,Yellow Medicine County,9795,,,,,
,,,,,,Yellowstone County,160137,,,,,
,,,,,,Yoakum County,8591,,,,,
,,,,,,Yolo County,220408,,,,,
,,,,,,York County,1010238,,,,,
,,,,,,Young County,18045,,,,,
,,,,,,Yuba County,78041,,,,,
,,,,,,Yukon-Koyukuk Census Area,5327,,,,,
,,,,,,Yuma County,222148,,,,,
,,,,,,Zapata County,14190,,,,,
,,,,,,Zavala County,11983,,,,,
,,,,,,Ziebach County,2742,,,,,
