County1,Count,Population,,#VALUE!,,county,population,,,county2,acc2,pop2
Curry,200,72250,,0.28%,,Calvert County,92003,,,Cheatham,44,40439
Hillsborough,5094,1852135,,0.28%,,Camas County,1127,,,Cheboygan,7,25413
Fredericksburg,80,29144,,0.27%,,Cambria County,131730,,,Chelan,4,77036
Broward,5332,1951260,,0.27%,,Camden County,617280,,,Chemung,23,84254
Linn,1024,375031,,0.27%,,Cameron County,428400,,,Chenango,10,47536
Anoka,966,353813,,0.27%,,Cameron Parish,6968,,,Cherokee,1144,498245
Hinds,646,237085,,0.27%,,Camp County,13033,,,Cherry,2,5761
Johnston,582,213624,,0.27%,,Campbell County,235225,,,Chesapeake,519,242634
New Castle,1516,559335,,0.27%,,Canadian County,144447,,,Chesapeake City,3,242634
Queen Anne's,136,50251,,0.27%,,Candler County,10836,,,Cheshire,145,76493
Merced,738,274765,,0.27%,,Cannon County,14462,,,Chester,855,571573
Powhatan,78,29189,,0.27%,,Canyon County,223499,,,Chesterfield,1680,394310
Adams,2284,856729,,0.27%,,Cape Girardeau County,78753,,,Cheyenne,16,13846
Mora,12,4506,,0.27%,,Cape May County,92560,,,Chickasaw,4,29135
Palm Beach,3937,1485941,,0.26%,,Carbon County,110181,,,Chicot,4,10438
Treutlen,18,6809,,0.26%,,Caribou County,7060,,,Childress,1,7291
St. Louis City,796,302838,,0.26%,,Carlisle County,4771,,,Chilton,716,44153
Harford,667,253956,,0.26%,,Carlton County,35837,,,Chippewa,55,113576
Fauquier,185,70675,,0.26%,,Caroline County,64076,,,Chisago,295,55922
Clayton,797,307171,,0.26%,,Carroll County,532273,,,Chittenden,27,164572
Rensselaer,411,159442,,0.26%,,Carson City,55414,,,Choctaw,1,35787
Columbia,1247,487497,,0.26%,,Carson County,6005,,,Christian,22,191315
Bernalillo,1736,678701,,0.26%,,Carter County,138824,,,Churchill,103,24440
Conecuh,31,12277,,0.25%,,Carteret County,69524,,,Cibola,29,26746
Hartford,2245,892697,,0.25%,,Carver County,103551,,,Citrus,160,147929
Nicollet,86,34220,,0.25%,,Cascade County,81643,,,Clackamas,1285,416075
Lassen,77,30802,,0.25%,,Casey County,15888,,,Claiborne,10,40758
Pacific,55,22036,,0.25%,,Cass County,487065,,,Clallam,33,76737
Jefferson Davis,28,11234,,0.25%,,Cassia County,23864,,,Clare,11,30757
Pasco,1333,539630,,0.25%,,Castro County,7665,,,Clarendon,387,33700
Camden,1520,617280,,0.25%,,Caswell County,22698,,,Clarion,21,38779
Arlington,584,237521,,0.25%,,Catahoula Parish,9608,,,Clark,909,3087502
Leon,759,309772,,0.25%,,Catawba County,158652,,,Clarke,71,190800
Ontario,268,109864,,0.24%,,Catoosa County,67420,,,Clatsop,443,39764
White Pine,23,9475,,0.24%,,Catron County,3578,,,Clay,908,718645
Lee,2991,1237092,,0.24%,,Cattaraugus County,76840,,,Clayton,797,307171
Putnam,997,412445,,0.24%,,Cavalier County,3829,,,Clear Creek,162,9605
Stanislaus,1322,549815,,0.24%,,Cayuga County,77145,,,Clearfield,294,79388
Duchesne,48,19964,,0.24%,,Cecil County,102826,,,Clearwater,2,17568
La Salle,18,7531,,0.24%,,Cedar County,41238,,,Cleburne,21,39952
Rio Blanco,15,6336,,0.24%,,Centre County,162805,,,Clermont,175,205466
Morrow,110,46484,,0.24%,,Cerro Gordo County,42647,,,Cleveland,914,387332
Arapahoe,1539,651215,,0.24%,,Chaffee County,20027,,,Clinton,207,387851
Cleveland,914,387332,,0.24%,,Chambers County,76069,,,Coahoma,2,22628
Pierce,2272,964466,,0.24%,,Champaign County,248737,,,Cobb,1555,756865
Santa Barbara,1049,446527,,0.23%,,Chariton County,7451,,,Cochise,72,126770
San Diego,7839,3343364,,0.23%,,Charles City County,6941,,,Cocke,28,35774
Oneida,629,269535,,0.23%,,Charles County,161503,,,Coconino,302,142854
Grand,59,25289,,0.23%,,Charles Mix County,9338,,,Coffee,66,150702
Utah,1449,622213,,0.23%,,Charleston County,405905,,,Colbert,21,54762
Cherokee,1144,498245,,0.23%,,Charlevoix County,26244,,,Cole,2,76796
Sarasota,978,426718,,0.23%,,Charlotte County,196936,,,Coleman,3,8397
Santa Rosa,408,179349,,0.23%,,Charlottesville city,48117,,,Coles,2,50885
Heard,27,11879,,0.23%,,Charlton County,12968,,,Colfax,8,22991
Kern,2024,896764,,0.23%,,Chase County,6606,,,Colleton,772,37660
Alachua,609,269956,,0.23%,,Chatham County,362334,,,Collier,438,378488
San Francisco,1989,883305,,0.23%,,Chattahoochee County,10684,,,Collin,914,1005146
Pershing,15,6666,,0.23%,,Chattooga County,24790,,,Colonial Heights,71,17833
Gila,121,53889,,0.22%,,Chautauqua County,131248,,,Colonial Heights City,6,17833
Fresno,2229,994400,,0.22%,,Chaves County,64689,,,Colorado,8,21217
Baca,8,3585,,0.22%,,Cheatham County,40439,,,Colquitt,1,45592
Pottawattamie,208,93533,,0.22%,,Cheboygan County,25413,,,Columbia,1247,487497
Whatcom,501,225685,,0.22%,,Chelan County,77036,,,Columbiana,36,102665
Iron,177,79745,,0.22%,,Chemung County,84254,,,Columbus,18,55655
Jasper,654,296075,,0.22%,,Chenango County,47536,,,Colusa,93,21627
Las Animas,32,14503,,0.22%,,Cherokee County,498245,,,Comal,72,148373
Baltimore County,1821,828431,,0.22%,,Cherry County,5761,,,Comanche,14,135704
St. Louis County,2626,1196699,,0.22%,,Chesapeake city,242634,,,Concho,1,4276
Sutter,212,96807,,0.22%,,Cheshire County,76493,,,Concordia,2,19572
Dade,52,23795,,0.22%,,Chester County,571573,,,Conecuh,31,12277
Prince William,1021,468011,,0.22%,,Chesterfield County,394310,,,Conejos,1,8200
Newport News,389,178626,,0.22%,,Cheyenne County,13846,,,Contra Costa,5765,1150215
Tulare,1014,465861,,0.22%,,Chickasaw County,29135,,,Converse,4,13640
Milwaukee,2046,948201,,0.22%,,Chicot County,10438,,,Conway,9,20891
Nobles,47,21924,,0.21%,,Childress County,7291,,,Cook,8668,5203048
Chesapeake,519,242634,,0.21%,,Chilton County,44153,,,Cooke,8,40574
Humboldt,344,162706,,0.21%,,Chippewa County,113576,,,Cooper,27,17603
Coconino,302,142854,,0.21%,,Chisago County,55922,,,Coos,414,95978
Alleghany,55,26071,,0.21%,,Chittenden County,164572,,,Coosa,7,10715
Banks,40,18988,,0.21%,,Choctaw County,35787,,,Copiah,31,28543
Lewis,144,68700,,0.21%,,Chouteau County,5745,,,Cortland,20,47823
St. Johns,532,254261,,0.21%,,Chowan County,14029,,,Coshocton,1,36629
Hardee,57,27245,,0.21%,,Christian County,191315,,,Costilla,1,3828
Skagit,268,128206,,0.21%,,Churchill County,24440,,,Cotton,1,5776
Shasta,376,180040,,0.21%,,Cibola County,26746,,,Cottonwood,13,11277
Summit,1279,614858,,0.21%,,Cimarron County,2153,,,Covington,21,5460
Iberville,68,32721,,0.21%,,Citrus County,147929,,,Coweta,183,145864
Oakland,2615,1259201,,0.21%,,Clackamas County,416075,,,Cowlitz,127,108987
Fairfax City,51,24574,,0.21%,,Claiborne County,40758,,,Craig,14,19370
Ouray,10,4833,,0.21%,,Claiborne Parish,15944,,,Craighead,5,108558
Autauga,115,55601,,0.21%,,Clallam County,76737,,,Crane,3,4794
Roanoke County,194,94073,,0.21%,,Clare County,30757,,,Craven,9,102912
